--------------------------------------------------------------------------------Column Units Label  Explanations--------------------------------------------------------------------------------   1 -- ID Hi-GAL clump ID2 deg GLON Galactic Longitude (degrees)3 deg GLAT Galactic Latitude (degrees)4 K TEMP Dust temperature of the clump5 Lsun/Msun L/M Ratio between de Bolometric temperature and mass (in Lsun/Msun)6 gr/cm^2 SURF_DENS Surfece density7 -- EVOL_FLAG Flag for thd type os clump. (0) Starless unbound. (1) Prestellar bound. (2) Protostellar.--------------------------------------------------------------------------------
ID,GLON,GLAT,TEMP,L/M,SURF_DENS,EVOL_FLAG
180442,42.838624,-0.338507,12.078,0.299099,0.173419,1
180444,42.838750,-0.142594,40.000,394.681,0.00563977,0
180460,42.843646,0.268221,11.556,0.229389,0.157986,1
180462,42.844139,-0.307965,8.589,0.0372636,0.578509,1
180467,42.844859,-0.112495,12.802,0.91938,0.133163,2
180473,42.846437,-0.301673,8.057,0.0250675,0.879815,1
180476,42.847200,-0.292002,14.059,0.743886,0.0459178,1
180484,42.848964,-0.349986,14.954,1.07722,0.0460763,1
180485,42.849343,-0.164480,15.527,2.61588,0.0909268,2
180493,42.850845,0.280319,11.616,0.236682,0.0625023,1
180500,42.854961,0.146206,11.907,0.274585,0.153687,1
180502,42.855850,-0.112000,10.369,0.11633,0.303725,1
180509,42.858159,-0.177954,13.989,3.29946,0.170531,2
180512,42.858748,-0.162682,16.955,3.75473,0.0704892,2
180531,42.866998,-0.200686,11.737,0.251769,0.105708,1
180544,42.870621,-0.179956,12.501,0.367592,0.228159,1
180549,42.872357,-0.027156,11.918,0.275979,0.140145,1
180552,42.872724,-0.375885,10.369,0.119696,0.248328,1
180565,42.875928,0.105628,14.522,0.903357,0.0338464,1
180583,42.880793,0.181351,12.028,0.2917,0.0980163,1
180584,42.880937,-0.173503,12.259,0.327017,0.268163,1
180596,42.884031,0.255490,14.994,1.09455,0.0345841,0
180610,42.889165,-0.193978,8.770,0.0421467,0.584742,1
180630,42.896538,0.246281,12.330,0.338446,0.156031,1
180633,42.896733,0.012746,12.732,0.410526,0.0805459,1
180640,42.899289,-0.061464,9.122,0.0541414,0.343543,1
180653,42.903337,0.163864,14.934,1.06869,0.0180219,0
180663,42.907212,-0.004690,11.737,0.251767,0.269956,1
180671,42.909169,-0.221559,9.535,0.0723697,0.225145,1
180674,42.909631,-0.024660,11.737,0.251808,0.177468,1
180682,42.911829,0.248514,10.550,0.218206,0.217541,2
180683,42.912493,-0.107472,18.429,3.77338,0.0199455,0
180687,42.913789,-0.490641,13.164,0.501356,0.0691813,1
180688,42.914293,0.239142,15.296,1.2337,0.0480709,1
180689,42.914933,-0.206622,14.994,1.09473,0.0387392,1
180691,42.915116,-0.133936,12.561,0.462992,0.666861,2
180696,42.916586,0.499632,13.034,0.472219,0.0310729,1
180724,42.925047,-0.068555,10.781,0.146611,0.310944,1
180725,42.925187,0.098367,15.698,1.44156,0.0300096,0
180732,42.926993,-0.053752,11.616,0.236982,0.279288,1
180738,42.929299,-0.267794,11.968,0.283039,0.0932185,1
180740,42.930372,-0.040622,12.159,0.612796,0.387984,2
180746,42.932775,-0.015837,12.923,0.753241,0.168898,2
180749,42.933618,0.292752,12.561,133.85,0.0137444,2
180751,42.935277,0.079463,12.561,0.378364,0.0590626,1
180756,42.937301,-0.068237,10.842,0.15681,0.138543,1
180765,42.941839,-0.034966,11.676,0.244201,0.158946,1
180767,42.942245,0.336235,8.529,0.0370726,0.149921,1
180772,42.943888,0.098683,15.175,1.17644,0.0256923,0
180779,42.945049,-0.314876,8.941,0.0479953,0.355956,1
180780,42.945260,0.151054,8.941,0.0472593,0.582066,1
180790,42.950181,-0.358134,11.616,0.236542,0.106575,1
180809,42.959393,0.010418,11.616,0.236636,0.0821564,1
180828,42.965194,-0.430444,11.314,0.202008,0.0468602,1
180858,42.979426,0.140394,12.792,0.422128,0.0716126,1
180865,42.981198,-0.004540,12.983,0.461394,0.099806,1
180876,42.986920,-0.070133,12.320,0.336834,0.114458,1
180880,42.989043,0.072675,11.495,0.22227,0.0820101,1
180897,42.995275,-0.286045,10.309,0.115612,0.177208,1
180916,43.002378,0.005891,11.918,0.275854,0.0896809,1
180918,43.003245,-0.454139,16.181,1.72879,0.0291176,0
180923,43.005987,0.469375,9.716,0.081015,0.0687251,1
180925,43.006338,-0.069224,17.478,2.74579,0.0296108,0
180943,43.011283,0.003041,14.522,0.90285,0.112437,1
180957,43.013768,0.356383,10.188,0.107728,0.0856782,1
180981,43.021290,-0.023164,17.729,8.66298,0.348345,2
180985,43.023322,-0.471132,7.282,0.0115194,5.34356,1
180997,43.026878,-0.098068,12.682,0.4007,0.0738541,1
181012,43.034226,0.434258,9.062,0.0533471,0.239789,1
181021,43.037933,-0.452783,23.953,14.0781,3.75419,2
181049,43.045853,0.196965,10.550,0.13285,0.0568288,1
181067,43.053297,-0.387151,11.676,0.2441,0.0618992,1
181090,43.060817,-0.002814,20.042,9.42741,0.912874,2
181120,43.067748,0.398883,11.797,0.259634,0.0542908,1
181127,43.069675,0.168406,12.571,0.380183,0.056157,1
181129,43.070457,-0.248161,10.721,0.146277,0.0829928,1
181134,43.072216,0.070775,8.288,0.0297733,0.792352,1
181136,43.072464,-0.008766,19.509,9.38182,0.273402,2
181141,43.074209,-0.077097,16.362,5.36055,1.17352,2
181167,43.080559,0.003764,16.774,12.8566,0.661152,2
181175,43.082442,-0.004842,8.348,0.0281774,2.5591,1
181190,43.086771,-0.092594,14.934,1.06848,0.124164,1
181197,43.087647,0.446639,15.406,2.6313,0.0320511,2
181199,43.088877,-0.011335,27.583,107.725,0.254927,2
181226,43.096370,-0.290616,9.655,0.0780432,0.219816,1
181228,43.096636,-0.083559,15.949,1.58575,0.191946,1
181231,43.097494,-0.051020,18.976,8.20673,0.356661,2
181238,43.098786,0.051125,15.417,1.15195,0.583852,1
181244,43.099462,-0.334064,9.655,0.0780786,0.195846,1
181266,43.105863,-0.040672,12.209,0.427008,0.48012,2
181274,43.107377,-0.100115,11.737,0.251767,0.192803,1
181276,43.107542,0.043703,15.323,2.13265,0.287583,2
181286,43.109684,0.016585,15.959,4.72791,0.128674,2
181313,43.117788,-0.069392,14.874,1.87117,0.292916,2
181338,43.124890,0.035053,16.895,2.0606,0.343541,1
181353,43.128448,-0.034413,14.049,1.46826,0.721313,2
181365,43.131747,0.100110,12.209,0.319056,0.110004,1
181376,43.133408,-0.074709,19.207,4.83466,0.110284,1
181389,43.139355,-0.057426,16.472,1.71282,0.514708,1
181403,43.144918,0.373180,21.260,8.8944,0.0117724,0
181407,43.145146,0.037214,12.621,1.11893,1.79883,2
181422,43.148308,0.013290,39.045,319.618,0.846218,2
181423,43.148442,0.027085,25.421,33.2095,0.632067,2
181471,43.159324,0.029632,39.487,140.612,0.335382,2
181477,43.160084,-0.157951,10.017,0.0973279,0.197596,1
181482,43.161506,-0.472822,11.616,0.236631,0.223689,1
181490,43.162384,-0.026941,22.404,1.94403,13.0319,1
181495,43.163037,-0.069711,27.693,129.365,0.0542286,2
181508,43.165767,-0.334766,10.007,0.0967491,0.149255,1
181515,43.166411,0.182330,12.802,0.424126,0.0588047,1
181541,43.170647,-0.000396,18.916,8.36876,9.22653,2
181559,43.174248,-0.230259,11.978,0.284516,0.0982034,1
181569,43.176287,-0.008625,32.127,160.349,0.738239,2
181570,43.176429,0.015673,23.058,3.65188,13.624,2
181577,43.176853,0.404380,12.440,0.891431,0.0345111,2
181578,43.176857,-0.031027,26.909,43.4786,0.277731,2
181590,43.178094,0.120261,13.034,0.472218,0.0774871,1
181597,43.179008,-0.176087,8.409,0.0321718,0.924158,1
181599,43.179483,0.052325,13.617,0.566329,0.512958,1
181620,43.182614,-0.073209,15.889,3.12038,0.271145,2
181623,43.182621,-0.056371,13.275,0.465472,0.851588,1
181632,43.184213,-0.015618,20.564,8.56118,1.51517,2
181641,43.185364,-0.042417,20.514,8.34178,0.418363,2
181645,43.185693,0.079632,15.406,1.67756,0.287858,2
181648,43.185934,-0.252916,11.606,0.235411,0.137431,1
181679,43.191928,-0.250904,19.097,4.67168,0.0676826,1
181684,43.192837,-0.490024,12.330,0.481486,0.557402,2
181693,43.194533,-0.036740,14.290,0.875024,1.26237,2
