--------------------------------------------------------------------------------   Column Units Label  Explanations--------------------------------------------------------------------------------   1 -- SSTGLMC GLIMPSE source ID.2 deg Glon Galactic Longitude of Glimpse source3 deg Glat Galactic Latitude of Glimpse source4 mag [3.6]G Flux magnitude of source at 3.6 microns.5 mag [4.5]G Flux magnitude of source at 4.5 microns.6 mag [5.8]G Flux magnitude of source at 5.8 microns.7 mag [8.0]G Flux magnitude of source at 8.0 microns.---------------------------------------------------
SSTGLMC,GLon,GLat,[3.6]G,[4.5]G,[5.8]G,[8.0]G
G043.6338-00.4946, 43.6338,-0.4945,10.67, 9.85, 9.19, 8.53
G043.6551+00.2000, 43.6551, 0.2002,11.42,10.73,10.26, 9.20
G043.6693-00.5371, 43.6693,-0.5371,11.11, 9.79, 8.87, 7.90
G043.6836+00.0581, 43.6836, 0.0582, 9.32, 8.27, 7.24, 5.61
G043.7637+00.4074, 43.7637, 0.4076,12.17,10.12, 8.49, 6.96
G043.7745-00.4125, 43.7745,-0.4125, 7.47, 6.99, 6.35, 5.63
G043.7891-00.7617, 43.7891,-0.7617,10.67, 9.86, 9.12, 8.38
G043.7916-00.0709, 43.7916,-0.0709, 7.93, 7.19, 6.54, 5.83
G043.7922+00.0894, 43.7923, 0.0895,10.73, 9.32, 8.31, 7.42
G043.8106+00.2580, 43.8106, 0.2581, 8.27, 7.68, 7.00, 6.47
G043.8161-00.1174, 43.8161,-0.1173, 8.67, 7.84, 6.93, 5.66
G043.8401+00.1431, 43.8401, 0.1432,10.20, 9.65, 9.15, 8.38
G043.9023+00.1161, 43.9023, 0.1163, 9.87, 9.12, 7.89, 6.63
G043.9153-00.3481, 43.9153,-0.3481, 8.32, 8.15, 7.59, 6.95
G043.9460+00.0616, 43.9460, 0.0617,12.92,11.22,10.12, 9.41
G043.9462-00.0153, 43.9462,-0.0153,11.74,10.68, 9.89, 9.07
G043.9792+00.6664, 43.9792, 0.6665,10.63, 9.91, 9.20, 8.46
G043.9892+00.0504, 43.9892, 0.0505,10.73, 9.79, 9.22, 8.59
G044.0048+00.2956, 44.0048, 0.2958,10.49, 9.95, 9.22, 8.38
G044.0452+00.9482, 44.0452, 0.9484,10.34, 9.69, 9.04, 8.22
G044.0528-00.8092, 44.0528,-0.8092,10.79, 9.85, 9.13, 8.26
G044.0936+00.5639, 44.0936, 0.5640,12.25,11.02, 9.95, 8.65
G044.0967+00.1601, 44.0968, 0.1602,11.97, 9.70, 8.60, 7.82
G044.1114+00.2527, 44.1114, 0.2528,11.07,10.38, 9.64, 9.05
G044.1115+00.4314, 44.1115, 0.4315,10.08, 9.27, 8.61, 8.03
G044.1145+00.1740, 44.1146, 0.1741,10.54, 9.91, 9.28, 8.48
G044.1196+00.0881, 44.1197, 0.0882,10.89, 9.51, 8.51, 7.62
G044.1333+00.1606, 44.1332, 0.1607,     ,10.53,10.14, 9.48
G044.1352+00.1601, 44.1352, 0.1602,10.61, 9.07, 8.07, 7.27
G044.1677-00.9020, 44.1677,-0.9020,10.78,10.46,10.11, 9.30
G044.1683+00.3150, 44.1683, 0.3151,10.64, 9.97, 9.34, 8.69
G044.1904+00.1207, 44.1904, 0.1208,13.83,12.72,11.06, 9.07
G044.1928-00.8579, 44.1928,-0.8578,10.65,10.04, 9.52, 8.99
