--------------------------------------------------------------------------------Column Units Label  Explanations--------------------------------------------------------------------------------   1 – SOURCE_ID Hi-GAL clump ID2 Jy S70 Integrated flux in the 70 microns band (Jansky)3 Jy S160 Integrated flux in the 160 microns band (Jansky)4 Jy S250 Integrated flux in the 250 microns band (Jansky)5 Jy S350 Integrated flux in the 350 microns band (Jansky)6 Jy S500 Integrated flux in the 500 microns band (Jansky)7 arcsec FW70_1 Full width at half maximum in major axis, 70 microns image.8 arcsec FW70_2 Full width at half maximum in minor axis, 70 microns image.9 arcsec FW160_1 Full width at half maximum in major axis, 160 microns image.10 arcsec FW160_2 Full width at half maximum in minor axis, 160 microns image.11 arcsec FW250_1 Full width at half maximum in major axis, 250 microns image.12 arcsec FW250_2 Full width at half maximum in minor axis, 250 microns image.13 arcsec FW350_1 Full width at half maximum in major axis, 350 microns image.14 arcsec FW350_2 Full width at half maximum in minor axis, 350 microns image.15 arcsec FW500_1 Full width at half maximum in major axis, 500 microns image.16 arcsec FW500_2 Full width at half maximum in minor axis, 500 microns image.17 deg PA70 Position angle of ellipse defined in 70 microns image.18 deg PA160 Position angle of ellipse defined in 160 microns image.19 deg PA250 Position angle of ellipse defined in 250 microns image.20 deg PA350 Position angle of ellipse defined in 350 microns image.21 deg PA500 Position angle of ellipse defined in 500 microns image.--------------------------------------------------------------------------------
SOURCE_ID,S70,S160,S250,S350,S500,FW70_1,FW70_2,FW160_1,FW160_2,FW250_1,FW250_2,FW350_1,FW350_2,FW500_1,FW500_2,PA70,PA160,PA250,PA350,PA500
178203,0.0,0.0,3.844,2.129,1.412,0.0,0.0,0.0,0.0,30.2,36.9,42.4,38.6,63.5,48.6,0.0,0.0,31.5,-29.7,-245.8
178204,0.0,0.0,1.732,0.0,0.0,0.0,0.0,0.0,0.0,20.7,31.8,0.0,0.0,0.0,0.0,0.0,0.0,176.6,0.0,0.0
178205,0.0,0.0,2.027,2.024,0.0,0.0,0.0,0.0,0.0,31.8,26.6,50.0,38.5,0.0,0.0,0.0,0.0,-108.2,-253.0,0.0
178206,0.0,0.661,0.0,0.0,0.0,0.0,0.0,14.5,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.2,0.0,0.0,0.0
178207,0.0,1.362,0.0,0.0,0.0,0.0,0.0,13.5,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-260.1,0.0,0.0,0.0
178208,0.817,0.0,0.0,0.0,0.0,18.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.6,0.0,0.0,0.0,0.0
178209,0.0,0.0,1.416,0.844,0.0,0.0,0.0,0.0,0.0,26.0,32.5,36.3,33.9,0.0,0.0,0.0,0.0,-22.2,120.0,0.0
178210,0.0,0.917,0.0,0.0,0.0,0.0,0.0,10.9,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.8,0.0,0.0,0.0
178211,0.0,2.883,0.0,0.0,0.0,0.0,0.0,39.1,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.9,0.0,0.0,0.0
178212,0.0,0.0,5.427,1.743,0.0,0.0,0.0,0.0,0.0,48.5,33.0,34.8,44.4,0.0,0.0,0.0,0.0,119.4,45.4,0.0
178213,0.0,0.734,5.128,5.345,2.02,0.0,0.0,10.9,14.0,30.6,24.2,34.9,45.0,45.4,38.9,0.0,-26.6,-292.4,-221.1,22.2
178214,0.0,0.765,0.0,0.0,0.0,0.0,0.0,14.7,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8,0.0,0.0,0.0
178215,70.306,58.961,48.299,12.912,10.45,9.7,9.1,16.5,13.9,24.5,19.5,27.5,25.6,47.3,38.7,-332.6,-286.6,-54.5,-280.8,-238.8
178216,0.0,0.0,4.83,3.553,0.0,0.0,0.0,0.0,0.0,28.1,40.6,39.5,45.3,0.0,0.0,0.0,0.0,72.7,-188.7,0.0
178217,0.0,0.357,3.877,0.0,0.0,0.0,0.0,12.8,10.9,24.5,31.1,0.0,0.0,0.0,0.0,0.0,183.8,37.4,0.0,0.0
178218,0.0,2.259,0.0,0.0,0.0,0.0,0.0,40.3,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0
178219,0.0,0.0,0.827,0.0,0.0,0.0,0.0,0.0,0.0,31.9,20.3,0.0,0.0,0.0,0.0,0.0,0.0,68.1,0.0,0.0
178220,0.0,0.806,0.0,0.0,0.0,0.0,0.0,13.7,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-292.3,0.0,0.0,0.0
178221,0.0,4.014,3.116,0.0,0.0,0.0,0.0,34.8,18.8,18.4,36.0,0.0,0.0,0.0,0.0,0.0,-73.2,13.8,0.0,0.0
178222,0.0,0.586,0.884,0.0,0.0,0.0,0.0,19.6,12.6,26.5,21.2,0.0,0.0,0.0,0.0,0.0,26.3,35.7,0.0,0.0
178223,0.0,2.61,3.832,2.882,0.0,0.0,0.0,22.1,15.7,22.9,25.5,36.2,31.2,0.0,0.0,0.0,18.1,84.1,-17.2,0.0
178224,0.0,0.0,1.078,1.697,0.0,0.0,0.0,0.0,0.0,21.7,28.3,50.7,38.0,0.0,0.0,0.0,0.0,42.8,-43.2,0.0
178225,0.0,0.0,1.357,0.0,0.0,0.0,0.0,0.0,0.0,31.7,27.1,0.0,0.0,0.0,0.0,0.0,0.0,-268.4,0.0,0.0
178226,0.0,9.138,0.0,0.0,0.0,0.0,0.0,46.1,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.8,0.0,0.0,0.0
178227,0.467,0.476,1.877,0.0,0.0,10.7,8.2,13.1,10.9,23.5,19.0,0.0,0.0,0.0,0.0,-298.5,-113.7,-271.3,0.0,0.0
178228,0.0,1.783,0.0,3.116,0.0,0.0,0.0,22.7,20.1,0.0,0.0,41.2,48.0,0.0,0.0,0.0,-240.0,0.0,32.0,0.0
178229,0.0,0.0,0.0,0.0,1.418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,56.4,0.0,0.0,0.0,0.0,-16.8
